Date,Time,Sport,Home_team,Away_team,Venue,Competition
2024/10/30,18:00,Football,Feyenoord,Ajax,De Kuip,Eredivisie
2024/11/02,16:30,Football,Willem II,FC Twente,Koning Willem II Stadion,Eredivisie
2024/11/02,18:45,Football,Heracles Almelo,NAC Breda,Erve Asito,Eredivisie
2024/11/02,18:45,Football,Ajax,PSV,Johan Cruyff Arena,Eredivisie
2024/11/02,21:00,Football,Feyenoord,AZ,De Kuip,Eredivisie
2024/11/02,21:00,Football,Fortuna Sittard,sc Heerenveen,Fortuna Sittard Stadion,Eredivisie
2024/11/03,12:15,Football,Go Ahead Eagles,PEC Zwolle,De Adelaarshorst,Eredivisie
2024/11/03,14:30,Football,Sparta Rotterdam,FC Utrecht,Sparta Stadion,Eredivisie
2024/11/03,14:30,Football,N.E.C.,FC Groningen,Goffertstadion,Eredivisie
2024/11/03,16:45,Football,RKC Waalwijk,Almere City FC,Maalwater Stadion,Eredivisie
2024/11/08,20:00,Football,FC Utrecht,Heracles Almelo,Stadion Galgenwaard,Eredivisie
2024/11/09,16:30,Football,FC Groningen,Sparta Rotterdam,Euroborg,Eredivisie
2024/11/09,18:45,Football,PEC Zwolle,Fortuna Sittard,MAC3PARK Stadion,Eredivisie
2024/11/09,20:00,Football,NAC Breda,PSV,Rat Verlegh Stadion,Eredivisie
2024/11/09,21:00,Football,RKC Waalwijk,N.E.C.,Maalwater Stadion,Eredivisie
2024/11/10,12:15,Football,Almere City FC,Feyenoord,Yanmar Stadion,Eredivisie
2024/11/10,14:30,Football,FC Twente,Ajax,De Grolsch Veste,Eredivisie
2024/11/10,14:30,Football,sc Heerenveen,Go Ahead Eagles,Abe Lenstra Stadion,Eredivisie
2024/11/10,16:45,Football,AZ,Willem II,AFAS Stadion,Eredivisie
2024/11/23,16:30,Football,Go Ahead Eagles,Almere City FC,De Adelaarshorst,Eredivisie
2024/11/23,18:45,Football,Heracles Almelo,RKC Waalwijk,Erve Asito,Eredivisie
2024/11/23,18:45,Football,Feyenoord,sc Heerenveen,De Kuip,Eredivisie
2024/11/23,21:00,Football,PSV,FC Groningen,Philips Stadion,Eredivisie
2024/11/23,21:00,Football,Fortuna Sittard,FC Twente,Fortuna Sittard Stadion,Eredivisie
2024/11/24,12:15,Football,N.E.C.,FC Utrecht,Goffertstadion,Eredivisie
2024/11/24,14:30,Football,Willem II,NAC Breda,Koning Willem II Stadion,Eredivisie
