Sport,Country,Home_team,Venue,Coor,Scraped_value,Scraped_value_team
Basketball,Albania,Apolonia Fier,Pallati Sportit Apolonia Fier (Fier),"[40.73500099602203, 19.567221031333013]",Pallati Sportit Flamurtari (Vlorë),
Basketball,Albania,Vllaznia,Pallati i Sporteve Qazim Dervishi (Shkodër),"[42.07138096156116, 19.50583929650208]",Qazim Dervishi Sports Palace (Shkodër),
Basketball,Albania,KS Tirana,Pallati i Sportit Farie Hoti (Tirana),"[41.326804291949024, 19.80758543690426]",Pallati i Sportit Farie Hoti (Tirana),Tirana
Basketball,Albania,Teuta Durres,Pallati i Sportit Ramazan Njala (Durrës),"[41.31891850215147, 19.451042181120364]",Pallati I Sportit Ramazan Njala (Durrës),
Basketball,Albania,Besëlidhja,Pallati i Sportit Asllan Rusi (Tirana),"[41.333583592264795, 19.80161826948254]",Pallati i Sportit Asllan Rusi (Tirana),Beselidhja
Basketball,Albania,Kamza Basket,Halit Cocka (Kamez),"[41.37178039762209, 19.781468231289608]",Salla Sportive Bathore (Tirana),None
Basketball,Austria,Swans Gmunden,Raiffeisen Sportpark Gmunden (Gmunden),"[47.91061246302181, 13.775931423766888]",Volksbank Arena (Gmunden),None
Basketball,Austria,Gunners Oberwart,Sporthalle Oberwart (Oberwart),"[47.281890250000004, 16.209642890987144]",Sporthalle Oberwart (Oberwart),Oberwart Gunners
Basketball,Austria,Klosterneuburg Dukes,Freizeitzentrum Happyland (Klosterneuburg),"[48.30921495, 16.330245222622278]",Freizeitzentrum Happyland (Klosterneuburg),None
Basketball,Austria,BC Vienna,Hallmann Dome (Vienna),"[48.1626463, 16.338899593613817]",Hallmann Dome (Vienna),Vienna Basket
Basketball,Austria,Nord Dragonz,Allsportzentrum Eisenstadt (Eisenstadt),"[47.8464474, 16.534677229651162]",Allsportzentrum Eisenstadt (Eisenstadt),BBC Nord
Basketball,Austria,Kapfenberg Bulls,Sporthalle Walfersam (Kapfenberg),"[47.44637048829545, 15.307930326916065]",Sporthalle Walfersam (Kapfenberg),None
Basketball,Austria,Raiffeisen Panthers Fürstenfeld,Stadthalle Furstenfeld (Furstenfeld),"[47.04814105044955, 16.0742312560339]",Stadthalle Furstenfeld (Furstenfeld),Furstenfeld
Basketball,Austria,Raiffeisen Flyers Wels,Raiffeisen Arena (Wels),"[48.15496008664098, 14.0071824267687]",Raiffeisen Arena (Wels),Wels
